id,type,src,dst,app,latency,message,ctime,size,buffer
82,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8201.673333333334,100000,245
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8300,100000,246
83,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8301.673333333334,50000,247
83,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8301.673333333334,100000,248
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8400,100000,249
84,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8401.673333333334,50000,250
84,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8401.673333333334,100000,251
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8500,100000,252
85,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8501.673333333334,50000,253
85,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8501.673333333334,100000,254
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8600,100000,255
86,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8601.673333333334,50000,256
86,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8601.673333333334,100000,257
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8700,100000,258
87,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8701.673333333334,50000,259
87,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8701.673333333334,100000,260
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8800,100000,261
88,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8801.673333333334,50000,262
88,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8801.673333333334,100000,263
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,8900,100000,264
89,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,8901.673333333334,50000,265
89,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,8901.673333333334,100000,266
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9000,100000,267
90,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9001.673333333334,50000,268
90,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9001.673333333334,100000,269
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9100,100000,270
91,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9101.673333333334,50000,271
91,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9101.673333333334,100000,272
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9200,100000,273
92,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9201.673333333334,50000,274
92,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9201.673333333334,100000,275
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9300,100000,276
93,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9301.673333333334,50000,277
93,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9301.673333333334,100000,278
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9400,100000,279
94,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9401.673333333334,50000,280
94,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9401.673333333334,100000,281
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9500,100000,282
95,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9501.673333333334,50000,283
95,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9501.673333333334,100000,284
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9600,100000,285
96,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9601.673333333334,50000,286
96,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9601.673333333334,100000,287
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9700,100000,288
97,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9701.673333333334,50000,289
97,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9701.673333333334,100000,290
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9800,100000,291
98,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9801.673333333334,50000,292
98,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9801.673333333334,100000,293
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,9900,100000,294
99,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,9901.673333333334,50000,295
99,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,9901.673333333334,100000,296
-1,LINK,1,8,SmartSurveillance,10000.00001,M.M_T,10000,100000,297
100,LINK,8,9,SmartSurveillance,10000.000005,M.T_C,10001.673333333334,50000,298
100,LINK,8,0,SmartSurveillance,10000.00001,M.T_G,10001.673333333334,100000,299
